Houses,Price,Area
20,12614025.0,None
20,12640305.0,None
20,12627480.0,None
20,12627480.0,None
20,12644580.0,None
20,12644580.0,None
20,12644580.0,None
20,12627480.0,None
20,12615225.0,None
20,12657975.0,None
20,12657975.0,None
20,12639675.0,None
20,12639675.0,None
20,12611460.0,None
20,12654210.0,None
20,12654210.0,None
20,12654210.0,None
20,12654210.0,None
20,12628560.0,None
20,12615735.0,None
20,12615735.0,None
20,12664185.0,None
20,12624285.0,None
20,12664185.0,None
20,12664185.0,None
20,12664185.0,None
20,12664185.0,None
20,12664185.0,None
20,12664185.0,None
20,12664185.0,None
20,12664185.0,None
20,12664185.0,None
20,12659910.0,None
20,12659910.0,None
20,12668460.0,None
20,12668460.0,None
20,12668460.0,None
20,12668460.0,None
20,12668460.0,None
20,12668460.0,None
20,12595260.0,None
20,12615900.0,None
20,12692970.0,None
20,12618870.0,None
20,12618870.0,None
20,12618870.0,None
20,12627420.0,None
20,12634830.0,None
20,12651930.0,None
20,12651930.0,None
20,12573090.0,None
20,12651930.0,None
20,12691830.0,None
20,12691830.0,None
20,12691830.0,None
20,12691830.0,None
20,12691830.0,None
20,12691830.0,None
20,12691830.0,None
20,12704655.0,None
20,12704655.0,None
20,12704655.0,None
20,12704655.0,None
20,12712635.0,None
20,12805260.0,None
20,12818085.0,None
20,12822930.0,None
20,12840030.0,None
20,12881310.0,None
20,12889290.0,None
20,12889290.0,None
20,12897840.0,None
20,12897840.0,None
20,12897840.0,None
20,12910665.0,None
20,12902115.0,None
20,13007235.0,None
20,13007235.0,None
20,13065945.0,None
20,13065945.0,None
20,13026045.0,None
20,13065945.0,None
20,13074495.0,None
20,13065375.0,None
20,13065375.0,None
20,13025475.0,None
20,13007175.0,None
20,13025475.0,None
20,13025475.0,None
20,13017495.0,None
20,12985575.0,None
20,12953655.0,None
20,12974460.0,None
20,12974460.0,None
20,12974460.0,None
20,12974460.0,None
20,12974460.0,None
20,12974460.0,None
20,12974460.0,None
20,12974460.0,None
20,12971160.0,None
20,13097130.0,None
20,13097130.0,None
20,13097130.0,None
20,13097130.0,None
20,13066170.0,None
20,13066170.0,None
20,13066170.0,None
20,13066170.0,None
20,13126305.0,None
20,13126305.0,None
20,13126305.0,None
20,13124025.0,None
20,13097745.0,None
20,13014930.0,None
20,13014930.0,None
20,13014930.0,None
20,13014930.0,None
20,13014930.0,None
20,13014930.0,None
20,12976455.0,None
20,12976455.0,None
20,12976455.0,None
20,12976455.0,None
20,12976455.0,None
20,12994755.0,None
20,12994755.0,None
20,12889635.0,None
20,12994755.0,None
20,12994755.0,None
20,12954855.0,None
20,12954855.0,None
20,12954855.0,None
20,12933480.0,None
20,12933480.0,None
20,12902520.0,None
20,12902520.0,None
20,12807945.0,None
20,12807945.0,None
20,12807945.0,None
20,12807945.0,None
20,12807945.0,None
20,12939345.0,None
20,12939345.0,None
20,12989790.0,None
20,13012365.0,None
20,13012365.0,None
20,13012365.0,None
20,13012365.0,None
20,13008090.0,None
20,13008090.0,None
20,13008090.0,None
20,13008090.0,None
20,13008090.0,None
20,13008090.0,None
20,13008090.0,None
20,13008090.0,None
20,13008090.0,None
20,12986715.0,None
20,12962205.0,None
20,13035735.0,None
20,12995835.0,None
20,13035735.0,None
20,13035735.0,None
20,13077015.0,None
20,13077015.0,None
20,13068465.0,None
20,13068465.0,None
20,13068465.0,None
20,13068465.0,None
20,13028565.0,None
20,13068465.0,None
20,13068465.0,None
20,13068465.0,None
20,13028565.0,None
20,13068465.0,None
20,13068465.0,None
20,13044525.0,None
20,13044525.0,None
20,13044525.0,None
20,13044525.0,None
20,13053075.0,None
20,13053075.0,None
20,13053075.0,None
20,13039110.0,None
20,13039110.0,None
20,13039110.0,None
20,13063620.0,None
20,13063620.0,None
20,13055070.0,None
20,13055070.0,None
20,13055070.0,None
20,13055070.0,None
20,13055070.0,None
20,13055070.0,None
20,13055070.0,None
20,13046520.0,None
20,13055070.0,None
20,13033695.0,None
20,13025715.0,None
20,13017165.0,None
20,13021440.0,None
20,12997500.0,None
20,12997500.0,None
20,12984675.0,None
20,12984675.0,None
